,name,price,url,brand,product_type,website
50,Samsung RR39C7EG7B1 ,10999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/samsung-rr39c7eg7b1/,Samsung,Fritstående køleskabe,Whiteaway
51,AEG RKB439F1DW ,3999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/aeg-rkb439f1dw/,AEG,Fritstående køleskabe,Whiteaway
52,frigor KS355EB ,8995,hvidevarer/koeleskab/fritstaaende-koeleskab/product/frigor-ks355eb/,frigor,Fritstående køleskabe,Whiteaway
53,Liebherr T1410-22001 ,3499,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-t1410-2201/,Liebherr,Fritstående køleskabe,Whiteaway
54,Liebherr CUE2831-26001 ,9749,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-cue2831-26001/,Liebherr,Fritstående køleskabe,Whiteaway
55,Liebherr SRBDE5220 ,9999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-srbde5220/,Liebherr,Fritstående køleskabe,Whiteaway
56,Blomberg SSM1420N ,7249,hvidevarer/koeleskab/fritstaaende-koeleskab/product/blomberg-ssm1420n/,Blomberg,Fritstående køleskabe,Whiteaway
57,frigor KS120EW ,2895,hvidevarer/koeleskab/fritstaaende-koeleskab/product/frigor-ks120ew/,frigor,Fritstående køleskabe,Whiteaway
58,Blomberg SSM4550N ,4799,hvidevarer/koeleskab/fritstaaende-koeleskab/product/blomberg-ssm4550n/,Blomberg,Fritstående køleskabe,Whiteaway
59,Hoover HHTL544W89N ,3599,hvidevarer/koeleskab/fritstaaende-koeleskab/product/hoover-hhtl544w89n/,Hoover,Fritstående køleskabe,Whiteaway
60,Blomberg SSM4560XN ,5499,hvidevarer/koeleskab/fritstaaende-koeleskab/product/blomberg-ssm4560xn/,Blomberg,Fritstående køleskabe,Whiteaway
61,Electrolux LRT6ME38W1+ LUT6NE28W1,15499,hvidevarer/koeleskab/fritstaaende-koeleskab/product/electrolux-lrt6me38w1-lut6ne28w1/,Electrolux,Fritstående køleskabe,Whiteaway
62,Electrolux LRT6ME38U1+ LUT6NE28U1,15999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/electrolux-lrt6me38u1-lut6ne28u1/,Electrolux,Fritstående køleskabe,Whiteaway
63,Gorenje R619EEW5 ,7999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/gorenje-r619eew5/,Gorenje,Fritstående køleskabe,Whiteaway
64,LG GLT51SWGSZ ,6360,hvidevarer/amerikaner-koeleskab/amerikanerkoeleskabe/product/lg-glt51swgsz/,LG,Fritstående køleskabe,Whiteaway
65,Bosch KSV33NWEP  Serie 2 ,6999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/bosch-ksv33nwep/,Bosch,Fritstående køleskabe,Whiteaway
66,Scandomestic SKS346W ,3599,hvidevarer/koeleskab/fritstaaende-koeleskab/product/scandomestic-sks346w/,Scandomestic,Fritstående køleskabe,Whiteaway
67,Liebherr TP1744-20001 ,5180,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-tp1744-20001/,Liebherr,Fritstående køleskabe,Whiteaway
68,Liebherr SRE5220 ,13999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-sre5220/,Liebherr,Fritstående køleskabe,Whiteaway
69,Bosch KSV36AIEP Serie 6 ,10999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/bosch-ksv36aiep/,Bosch,Fritstående køleskabe,Whiteaway
70,Scandomestic Coca-cola FiftyCube,1949,hvidevarer/koeleskab/fritstaaende-koeleskab/product/scandomestic-coca-cola/,Scandomestic,Fritstående køleskabe,Whiteaway
71,Samsung RR39C7BG7WW ,9999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/samsung-rr39c7bg7ww/,Samsung,Fritstående køleskabe,Whiteaway
72,Electroluc LRC4DE35X ,6999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/electroluc-lrc4de35x/,Electrolux,Fritstående køleskabe,Whiteaway
73,Gorenje R619EES5 ,3999,hvidevarer/fryser/fryseskab/product/gorenje-r619ees5/,Gorenje,Fritstående køleskabe,Whiteaway
74,Scandomestic SKS192W ,2523,hvidevarer/koeleskab/fritstaaende-koeleskab/product/scandomestic-sks192w/,Scandomestic,Fritstående køleskabe,Whiteaway
75,ASKO R23841S ,13495,hvidevarer/koeleskab/fritstaaende-koeleskab/product/asko-r23841s/,ASKO,Fritstående køleskabe,Whiteaway
76,Gorenje R4142PW ,4399,hvidevarer/koeleskab/fritstaaende-koeleskab/product/gorenje-r4142pw/,Gorenje,Fritstående køleskabe,Whiteaway
77,Samsung RR39C7BG7S9 ,10499,hvidevarer/koeleskab/fritstaaende-koeleskab/product/samsung-rr39c7bg7s9/,Samsung,Fritstående køleskabe,Whiteaway
78,ASKO R23841W ,12495,hvidevarer/koeleskab/fritstaaende-koeleskab/product/asko-r23841w/,ASKO,Fritstående køleskabe,Whiteaway
79,Scandomestic SKS201W ,2502,hvidevarer/koeleskab/fritstaaende-koeleskab/product/scandomestic-sks201w/,Scandomestic,Fritstående køleskabe,Whiteaway
80,Liebherr TB 1400-21 001 ,4399,hvidevarer/koele-fryseskab/fritstaaende-koele-fryseskab/product/liebherr-tb-1400-20-001/,Liebherr,Fritstående køleskabe,Whiteaway
81,Siemens KS36VVXDP ,4600,hvidevarer/koeleskab/fritstaaende-koeleskab/product/siemens-ks36vvxdp/,Siemens,Fritstående køleskabe,Whiteaway
82,Gram KS3215-93X/1 ,3965,hvidevarer/koeleskab/fritstaaende-koeleskab/product/gram-gram-ks3215-93x1/,Gram,Fritstående køleskabe,Whiteaway
83,Siemens KS36VVIDP1 ,4900,hvidevarer/koeleskab/fritstaaende-koeleskab/product/siemens-ks36vvidp1/,Siemens,Fritstående køleskabe,Whiteaway
84,Bosch KSV36AIDP Serie 6,7494,hvidevarer/koeleskab/fritstaaende-koeleskab/product/bosch-ksv36aidp/,Bosch,Fritstående køleskabe,Whiteaway
85,Gram GRAM KS3315-93X1 ,5499,hvidevarer/koeleskab/fritstaaende-koeleskab/product/gram-gram-ks3315-93x1/,Gram,Fritstående køleskabe,Whiteaway
86,Bosch KSV36VBEP Serie 4 ,5268,hvidevarer/koeleskab/fritstaaende-koeleskab/product/bosch-ksv36vbep/,Bosch,Fritstående køleskabe,Whiteaway
87,Siemens KS36VVIEP  IQ300,5822,hvidevarer/koeleskab/fritstaaende-koeleskab/product/siemens-ks36vviep/,Siemens,Fritstående køleskabe,Whiteaway
88,Liebherr RBE5220 ,7522,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-rbe5220/,Liebherr,Fritstående køleskabe,Whiteaway
89,Bosch KSF36PIDP Serie 8 ,8969,hvidevarer/koeleskab/fritstaaende-koeleskab/product/bosch-ksf36pidp/,Bosch,Fritstående køleskabe,Whiteaway
90,Liebherr SRsdd 5250-20 001 Køleskab,14636,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-srsdd-5250-20-001/,Liebherr,Fritstående køleskabe,Whiteaway
91,frigor KS120FW ,2695,hvidevarer/koeleskab/fritstaaende-koeleskab/product/frigor-ks120fw/,frigor,Fritstående køleskabe,Whiteaway
92,frigor KSY352EB ,9995,hvidevarer/koeleskab/fritstaaende-koeleskab/product/frigor-ksy352eb/,frigor,Fritstående køleskabe,Whiteaway
