,name,price,url,brand,product_type,website
68,Bosch Fryser GSN36CWEP (Hvid) | Elgiganten,8999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/skabsfryser/bosch-fryser-gsn36cwep-hvid/605480,Bosch,Skabsfryser,Elgiganten
69,Logik køle/fryseskab LNF186T23E | Elgiganten,3499.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/logik-kolefryseskab-lnf186t23e/591897,Logik,Kølefryseskab,Elgiganten
70,LG kølefryseskab GBB72MCEGN | Elgiganten,10499.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/lg-kolefryseskab-gbb72mcegn/432388,LG,Kølefryseskab,Elgiganten
71,Bosch Køleskab KSV36FWDP | Elgiganten,3999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/koleskab/bosch-koleskab-ksv36fwdp/605477,Bosch,Køleskab,Elgiganten
72,Gram Fresh 3000 køleskab KS3215931 | Elgiganten,2999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/koleskab/gram-fresh-3000-koleskab-ks3215931/195911,Gram,Køleskab,Elgiganten
73,Dometic CombiCool køleboks DCCACX330 | Elgiganten,2699.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/koletaske-og-koleboks/dometic-combicool-koleboks-dccacx330/294804,Dometic,Køletaske og køleboks,Elgiganten
74,LG kølefryseskab GBP62SWNAC | Elgiganten,12999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/lg-kolefryseskab-gbp62swnac/603774,LG,Kølefryseskab,Elgiganten
75,LG frysekøleskab GBB71SWEGN | Elgiganten,8999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/lg-frysekoleskab-gbb71swegn/432399,LG,Kølefryseskab,Elgiganten
76,Indesit køleskab/fryser CAA551 (hvid) | Elgiganten,3299.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/indesit-koleskabfryser-caa551-hvid/355409,Indesit,Kølefryseskab,Elgiganten
77,Samsung fryser BRZ22720DWW integreret | Elgiganten,11760.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/skabsfryser/samsung-fryser-brz22720dww-integreret/586715,Samsung,Skabsfryser,Elgiganten
78,Bosch Køl/frys kombination KBN96SDD0 | Elgiganten,10199.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/bosch-kolfrys-kombination-kbn96sdd0/673690,Bosch,Kølefryseskab,Elgiganten
79,LG opretstående fryser GFM61MCCSF (matte black) | Elgiganten,9999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/skabsfryser/lg-opretstaende-fryser-gfm61mccsf-matte-black/299098,LG,Skabsfryser,Elgiganten
